Code,"Long Name","Income Group","Region","Lending category","Other groups","Currency Unit","Latest population census","Latest household survey","Special Notes","National accounts base year","National accounts reference year","System of National Accounts","SNA price valuation","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","Latest water withdrawal data","2-alpha code","WB-2 code","Table Name","Short Name"
AUS,"Commonwealth of Australia","High income: OECD","East Asia & Pacific","","","Australian dollar","2011","","Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008.","Original chained constant price data are rescaled.","2012/13","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2003","Yes","2011","2011","2013","2000","AU","AU","Australia","Australia"
AUT,"Republic of Austria","High income: OECD","Europe & Central Asia","","Euro area","Euro","2011. Population data compiled from administrative registers.","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2004","Yes","2010","2010","2013","2002","AT","AT","Austria","Austria"
AZE,"Republic of Azerbaijan","Upper middle income","Europe & Central Asia","IBRD","","New Azeri manat","2009","Demographic and Health Survey (DHS), 2006","April 2012 database update: National accounts historical expenditure series in constant prices were revised in line with State Statistical Committee data that were not previously available.","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1992–95","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Living Standards Measurement Study Survey (LSMS), 2011/12","Yes","2015","2011","2013","2012","AZ","AZ","Azerbaijan","Azerbaijan"
BHS,"Commonwealth of The Bahamas","High income: nonOECD","Latin America & Caribbean","","","Bahamian dollar","2010","","","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","","","","","2013","","BS","BS","Bahamas, The","The Bahamas"
BHR,"Kingdom of Bahrain","High income: nonOECD","Middle East & North Africa","","","Bahraini dinar","2010","","Based on official government statistics; the new base year is 2010.","2010","","Country uses the 1968 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","","Yes","","2010","2011","2003","BH","BH","Bahrain","Bahrain"
BGD,"People's Republic of Bangladesh","Lower middle income","South Asia","IDA","","Bangladeshi taka","2011","Demographic and Health Survey (DHS), 2014; HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014","Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.","2005/06","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Estimate","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2010","","2008","","2007","2008","BD","BD","Bangladesh","Bangladesh"
BRB,"Barbados","High income: nonOECD","Latin America & Caribbean","","","Barbados dollar","2010","Multiple Indicator Cluster Survey (MICS), 2012","","1974","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","","Yes","2010. Population and Housing Census.","","2013","2005","BB","BB","Barbados","Barbados"
BLR,"Republic of Belarus","Upper middle income","Europe & Central Asia","IBRD","","Belarusian rubel","2009","Multiple Indicator Cluster Survey (MICS), 2012","","Original chained constant price data are rescaled.","2000","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1990–95","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2013","Yes","","2011","2013","2000","BY","BY","Belarus","Belarus"
BEL,"Kingdom of Belgium","High income: OECD","Europe & Central Asia","","Euro area","Euro","2011","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","2005","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2000","Yes","2010","2010","2013","2007","BE","BE","Belgium","Belgium"
BLZ,"Belize","Upper middle income","Latin America & Caribbean","IBRD","","Belize dollar","2010","Multiple Indicator Cluster Survey (MICS), 2011","","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Labor force survey (LFS), 1999","","","","2013","2000","BZ","BZ","Belize","Belize"
BEN,"Republic of Benin","Low income","Sub-Saharan Africa","IDA","HIPC","CFA franc","2013","Multiple Indicator Cluster Survey (MICS), 2014","","1985","","Country uses the 1968 System of National Accounts methodology.","Value added at producer prices (VAP)","1992","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Core Welfare Indicator Questionnaire Survey (CWIQ), 2011/12","","2011/12","","2013","2001","BJ","BJ","Benin","Benin"
BMU,"The Bermudas","High income: nonOECD","North America","","","Bermuda dollar","2010","","","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","","","","Yes","","","2013","","BM","BM","Bermuda","Bermuda"
BTN,"Kingdom of Bhutan","Lower middle income","South Asia","IDA","","Bhutanese ngultrum","2005","Multiple Indicator Cluster Survey (MICS), 2010","April 2013 database update: Data were updated using the government of Bhutan macroeconomic framework.","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2012","","2009","","2011","2008","BT","BT","Bhutan","Bhutan"
BOL,"Plurinational State of Bolivia","Lower middle income","Latin America & Caribbean","Blend","HIPC","Bolivian Boliviano","2012","Demographic and Health Survey (DHS), 2008","","1990","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","1960–85","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2012","","2013","","2013","2000","BO","BO","Bolivia","Bolivia"
BIH,"Bosnia and Herzegovina","Upper middle income","Europe & Central Asia","IBRD","","Bosnia and Herzegovina convertible mark","2013","Multiple Indicator Cluster Survey (MICS), 2011/12","Based on official government statistics for chain linked series; the new reference year is 2010.","Original chained constant price data are rescaled.","2010","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","Living Standards Measurement Study Survey (LSMS), 2007","Yes","","","2013","2012","BA","BA","Bosnia and Herzegovina","Bosnia and Herzegovina"
BWA,"Republic of Botswana","Upper middle income","Sub-Saharan Africa","IBRD","","Botswana pula","2011","Multiple Indicator Cluster Survey (MICS), 2000","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2009/10","","2011. Population and Housing Census.","2011","2013","2000","BW","BW","Botswana","Botswana"
BRA,"Federative Republic of Brazil","Upper middle income","Latin America & Caribbean","IBRD","","Brazilian real","2010","World Health Survey (WHS), 2003","","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2012","","2006","2011","2013","2010","BR","BR","Brazil","Brazil"
BRN,"Brunei Darussalam","High income: nonOECD","East Asia & Pacific","","","Brunei dollar","2011","","","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","","","Special trade system","","General Data Dissemination System (GDDS)","","Yes","","","2013","1994","BN","BN","Brunei Darussalam","Brunei"
BGR,"Republic of Bulgaria","Upper middle income","Europe & Central Asia","IBRD","","Bulgarian lev","2011","Living Standards Measurement Study Survey (LSMS), 2007","The new reference year for chain linked series is 2010. April 2011 database update: The National Statistical Office revised national accounts data from 1995 onward. GDP in current prices were about 4 percent higher than previous estimates.","Original chained constant price data are rescaled.","2010","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1978–89, 1991–92","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2012","Yes","2010","2011","2013","2009","BG","BG","Bulgaria","Bulgaria"
BFA,"Burkina Faso","Low income","Sub-Saharan Africa","IDA","HIPC","CFA franc","2006","Malaria Indicator Survey (MIS), 2014","","1999","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1992–93","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Core Welfare Indicator Questionnaire Survey (CWIQ), 2009","","2010","","2013","2005","BF","BF","Burkina Faso","Burkina Faso"
BDI,"Republic of Burundi","Low income","Sub-Saharan Africa","IDA","HIPC","Burundi franc","2008","Malaria Indicator Survey (MIS), 2012","","2005","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","Core Welfare Indicator Questionnaire Survey (CWIQ), 2006","","","2010","2012","2000","BI","BI","Burundi","Burundi"
CPV,"Republic of Cabo Verde","Lower middle income","Sub-Saharan Africa","Blend","","Cabo Verde escudo","2010","Demographic and Health Survey (DHS), 2005","Cabo Verde is the new name for the country previously listed as Cape Verde. Based on official government statistics and IMF data, national accounts data have been revised from 1990 onward; the new base year is 2007.","2007","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Core Welfare Indicator Questionnaire Survey (CWIQ), 2007","Yes","2014","","2013","2001","CV","CV","Cabo Verde","Cabo Verde"
KHM,"Kingdom of Cambodia","Low income","East Asia & Pacific","IDA","","Cambodian riel","2008","Demographic and Health Survey (DHS), 2014","","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2011","","2013","","2013","2006","KH","KH","Cambodia","Cambodia"
CMR,"Republic of Cameroon","Lower middle income","Sub-Saharan Africa","Blend","HIPC","CFA franc","2005","Multiple Indicator Cluster Survey (MICS), 2014","","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Priority survey (PS), 2007","","","","2012","2000","CM","CM","Cameroon","Cameroon"
CAN,"Canada","High income: OECD","North America","","","Canadian dollar","2011","","Fiscal year end: March 31; reporting period for national accounts data: CY.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Labor force survey (LFS), 2010","Yes","2011","2011","2013","1986","CA","CA","Canada","Canada"
CYM,"Cayman Islands","High income: nonOECD","Latin America & Caribbean","","","Cayman Islands dollar","2010","","","2007","","Country uses the 1993 System of National Accounts methodology.","","","2011","","","General trade system","","","","Yes","","","","","KY","KY","Cayman Islands","Cayman Islands"
CAF,"Central African Republic","Low income","Sub-Saharan Africa","IDA","HIPC","CFA franc","2003","Multiple Indicator Cluster Survey (MICS), 2010","","2000","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Priority survey (PS), 2008","","","","2011","2005","CF","CF","Central African Republic","Central African Republic"
TCD,"Republic of Chad","Low income","Sub-Saharan Africa","IDA","HIPC","CFA franc","2009","Demographic and Health Survey (DHS), 2014","Based on IMF data, national accounts data have been revised for 2005 onward; the new base year is 2005.","2005","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Preliminary","Special trade system","","General Data Dissemination System (GDDS)","Priority survey (PS), 2011","","2010/ 2011","","1995","2005","TD","TD","Chad","Chad"
CHI,"Channel Islands","High income: nonOECD","Europe & Central Asia","","","Pound sterling","Guernsey: 2009; Jersey: 2011.","","","2003","2007","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","","","","","","","","Yes. Vital registration for Guernsey and Jersey.","","","","","","JG","Channel Islands","Channel Islands"
CHL,"Republic of Chile","High income: OECD","Latin America & Caribbean","IBRD","","Chilean peso","2012","","","2008","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2011","Yes","2007","","2013","2006","CL","CL","Chile","Chile"
CHN,"People's Republic of China","Upper middle income","East Asia & Pacific","IBRD","","Chinese yuan","2010","National Sample Survey on Population Change (NSS), 2013","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Based on data from the National Bureau of Statistics, the methodology for national accounts exports and imports of goods and services in constant prices have been revised from 2000 onward.","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","1978–93","2011","IMF Balance of Payments Manual, 6th edition.","Preliminary","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2012","","2007","2007","2013","2005","CN","CN","China","China"
COL,"Republic of Colombia","Upper middle income","Latin America & Caribbean","IBRD","","Colombian peso","2006","Demographic and Health Survey (DHS), 2010","","2005","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1992–94","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2012","","2013","2011","2013","2008","CO","CO","Colombia","Colombia"
COM,"Union of the Comoros","Low income","Sub-Saharan Africa","IDA","HIPC","Comorian franc","2003","Demographic and Health Survey (DHS), 2012","","1990","","Country uses the 1968 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","","Actual","Special trade system","","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2004","","","","2009","1999","KM","KM","Comoros","Comoros"
ZAR,"Democratic Republic of the Congo","Low income","Sub-Saharan Africa","IDA","HIPC","Congolese franc","1984","Demographic and Health Survey (DHS), 2013/14","Based on official government statistics; the new base year 2005.","2005","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","1999–2001","2011","IMF Balance of Payments Manual, 6th edition.","Preliminary","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","1-2-3 survey (1-2-3), 2005/06","","","","","2005","CD","ZR","Congo, Dem. Rep.","Dem. Rep. Congo"
COG,"Republic of Congo","Lower middle income","Sub-Saharan Africa","Blend","HIPC","CFA franc","2007","Demographic and Health Survey (DHS), 2011/12","April 2013 database update: Based on IMF data, national accounts data were revised for 1990 onward; the base year changed to 1990.","1990","","Country uses the 1968 System of National Accounts methodology.","Value added at producer prices (VAP)","1993","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011","","2013","2009","2013","2002","CG","CG","Congo, Rep.","Congo"
CRI,"Republic of Costa Rica","Upper middle income","Latin America & Caribbean","IBRD","","Costa Rican colon","2011","Multiple Indicator Cluster Survey (MICS), 2011","","1991","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2012","Yes","2014","2011","2013","2013","CR","CR","Costa Rica","Costa Rica"
CIV,"Republic of Côte d'Ivoire","Lower middle income","Sub-Saharan Africa","IDA","HIPC","CFA franc","2014","Demographic and Health Survey (DHS), 2011/12","The new base year is 2009.","2009","","Country uses the 1968 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2008","","2014","","2013","2005","CI","CI","Côte d'Ivoire","Côte d'Ivoire"
HRV,"Republic of Croatia","High income: nonOECD","Europe & Central Asia","IBRD","","Croatian kuna","2011","World Health Survey (WHS), 2003","The new reference year for chain linked series is 2010. April 2013 database update: Based on official government statistics, the base year for constant price series changed to 2005.","Original chained constant price data are rescaled.","2010","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2011","Yes","2010","","2013","2010","HR","HR","Croatia","Croatia"
CUB,"Republic of Cuba","Upper middle income","Latin America & Caribbean","","","Cuban peso","2012","Multiple Indicator Cluster Survey (MICS), 2014","","1997","2005","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","","","Special trade system","","","","Yes","","","2006","2007","CU","CU","Cuba","Cuba"
CUW,"Curaçao","High income: nonOECD","Latin America & Caribbean","","","Netherlands Antillean guilder","2011","","","","","Country uses the 1993 System of National Accounts methodology.","","","2011","","","","","","","Yes","","2010","","","CW","CW","Curaçao","Curaçao"
CYP,"Republic of Cyprus","High income: nonOECD","Europe & Central Asia","","Euro area","Euro","2011","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","","Yes","2010","2011","2013","2009","CY","CY","Cyprus","Cyprus"
CZE,"Czech Republic","High income: OECD","Europe & Central Asia","","","Czech koruna","2011","World Health Survey (WHS), 2003","","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2012","Yes","2010","2010","2013","2007","CZ","CZ","Czech Republic","Czech Republic"
DNK,"Kingdom of Denmark","High income: OECD","Europe & Central Asia","","","Danish krone","2011","","","2005","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Income tax registers (ITR), 2010","Yes","2010","2010","2013","2009","DK","DK","Denmark","Denmark"
DJI,"Republic of Djibouti","Lower middle income","Middle East & North Africa","IDA","","Djibouti franc","2009","Multiple Indicator Cluster Survey (MICS), 2006","","1990","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","General Data Dissemination System (GDDS)","Priority survey (PS), 2002","","","","2009","2000","DJ","DJ","Djibouti","Djibouti"
DMA,"Commonwealth of Dominica","Upper middle income","Latin America & Caribbean","Blend","","East Caribbean dollar","2011","","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","","Yes","","","2012","2004","DM","DM","Dominica","Dominica"
DOM,"Dominican Republic","Upper middle income","Latin America & Caribbean","IBRD","","Dominican peso","2010","Multiple Indicator Cluster Survey (MICS), 2014","","1991","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2012","","2012/13","","2012","2005","DO","DO","Dominican Republic","Dominican Republic"
ECU,"Republic of Ecuador","Upper middle income","Latin America & Caribbean","IBRD","","U.S. dollar","2010","Reproductive Health Survey (RHS), 2004","National accounts have been revised from 1965 onward based on official government data; the new base year is 2007. The large upward changes are due to an improved calculation method for nominal GDP.","2007","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2013","","2013/15","2008","2013","2005","EC","EC","Ecuador","Ecuador"
EGY,"Arab Republic of Egypt","Lower middle income","Middle East & North Africa","IBRD","","Egyptian pound","2006","Demographic and Health Survey (DHS), 2014","Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2001/02.","2001/02","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2011","Yes","2009/2010","2010","2013","2000","EG","EG","Egypt, Arab Rep.","Egypt"
